Pokemon Name,Number ,Card Type ,# in Machine,Estimated Value ,Is Chase Card? ,Is top 10 chase card? ,Is classic Pokemon? ,Is Full Art?  ,
Makuhita,072,Reverse Holo ,2,,FALSE,FALSE,FALSE,FALSE,
Mantine,032,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Meganium,010,Reverse Holo ,2,,FALSE,FALSE,FALSE,FALSE,
Miltank,106,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Mystery Garden,122,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Nincada,016,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Ninetales,020,Reverse Holo ,1,,FALSE,FALSE,TRUE,FALSE,
Numel,021,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Nuzleaf,014,Reverse Holo ,2,,FALSE,FALSE,FALSE,FALSE,
Pachirisu,051,Reverse Holo ,2,,FALSE,FALSE,FALSE,FALSE,
Pokemon Center Lady,123,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Pyroar,024,Reverse Holo ,2,,FALSE,FALSE,FALSE,FALSE,
Ralts,058,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Rare Candy,125,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Riolu,076,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Sandshrew,068,Reverse Holo ,1,,FALSE,FALSE,TRUE,FALSE,
Sandslash,069,Reverse Holo ,1,,FALSE,FALSE,TRUE,FALSE,
Scorbunny,026,Reverse Holo ,2,,FALSE,FALSE,FALSE,FALSE,
Seedot,013,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Shedinja,061,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Shroodle,091,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Sizzlipede,029,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Snom,042,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Snover,035,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Sobble,039,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Solrock,075,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Spearow,102,Reverse Holo ,2,,FALSE,FALSE,TRUE,FALSE,
Spiritomb,087,Reverse Holo ,2,,FALSE,FALSE,FALSE,FALSE,
Spoink,062,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Stonjourner,081,Reverse Holo ,2,,FALSE,FALSE,FALSE,FALSE,
Strange Timepiece,128,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Stufful,111,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Toxicroak,079,Reverse Holo ,2,,FALSE,FALSE,FALSE,FALSE,
Tyrogue,071,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Ultra Ball,131,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Xerneas,064,Reverse Holo ,2,,FALSE,FALSE,FALSE,FALSE,
Fearow,103,Reverse Holo ,1,,FALSE,FALSE,TRUE,FALSE,
Tangrowth,007,Reverse Holo ,1,,FALSE,FALSE,TRUE,FALSE,
Acerola's Mischief,165,Secret Art,1,$3.47,TRUE,FALSE,FALSE,TRUE,
Clawitzer,141,Secret Art,1,$1.36,TRUE,FALSE,FALSE,TRUE,
Litleo,139,Secret Art,1,$2.59,TRUE,FALSE,FALSE,TRUE,
Mega Absol Ex,180,Secret Art,1,$58.26,TRUE,TRUE,FALSE,TRUE,
Shedinja,144,Secret Art,1,$2.19,TRUE,FALSE,FALSE,TRUE,
Steelix,150,Secret Art,1,$6.70,TRUE,FALSE,TRUE,TRUE,
Exeggutor,135,Secret Art,1,$4.84,TRUE,FALSE,TRUE,TRUE,
Bulbasaur,133,Alternative Full Art,1,$13.68,TRUE,TRUE,TRUE,TRUE,
Vulpix,138,Secret Art,1,$11.39,TRUE,TRUE,TRUE,TRUE,
Ivysaur,134,Alternative Full Art,1,$14.97,TRUE,TRUE,TRUE,TRUE,
Mega Kangaskhan ex,182,Alternative Full Art,1,$61.20,TRUE,TRUE,TRUE,TRUE,
