Pokemon Name,Number ,Card Type ,# in Machine,Estimated Value ,Is Chase Card? ,Is top 10 chase card? ,Is classic Pokemon? ,Is Full Art?  
N's Darmanitan,027,Reverse Holo ,1,$0.30,FALSE,FALSE,FALSE,FALSE
Wailord,041,Holo,2,$0.30,FALSE,FALSE,FALSE,FALSE
Wailord,041,Reverse Holo ,1,$0.30,FALSE,FALSE,FALSE,FALSE
Weezing,092,Reverse Holo ,1,$0.30,FALSE,FALSE,TRUE,TRUE
Magearna,107,Holo,4,$0.29,FALSE,FALSE,FALSE,FALSE
Ludicolo,037,Holo,2,$0.28,FALSE,FALSE,FALSE,FALSE
Butterfree,003,Holo,1,$0.27,FALSE,FALSE,TRUE,FALSE
Copperajah,110,Reverse Holo ,1,$0.27,FALSE,FALSE,FALSE,FALSE
Grimmsnarl,073,Reverse Holo ,1,$0.27,FALSE,FALSE,FALSE,FALSE
Hop's Dubwool,136,Holo,2,$0.27,FALSE,FALSE,FALSE,FALSE
Hop's Dubwool,136,Reverse Holo ,2,$0.27,FALSE,FALSE,FALSE,FALSE
Magmortar,021,Holo,1,$0.27,FALSE,FALSE,TRUE,FALSE
Metagross,063,Holo,3,$0.27,FALSE,FALSE,FALSE,FALSE
Metagross,063,Reverse Holo ,1,$0.27,FALSE,FALSE,FALSE,FALSE
Greedent,132,Reverse Holo ,1,$0.26,FALSE,FALSE,FALSE,FALSE
N's Zorua,097,Reverse Holo ,1,$0.25,FALSE,FALSE,FALSE,FALSE
Maractus,008,Reverse Holo ,1,$0.22,FALSE,FALSE,FALSE,FALSE
Alolan Graveler,045,Reverse Holo ,2,$0.19,FALSE,FALSE,TRUE,FALSE
Lilligant,007,Reverse Holo ,2,$0.19,FALSE,FALSE,FALSE,FALSE
N's Darumaka,026,Reverse Holo ,1,$0.19,FALSE,FALSE,FALSE,FALSE
N's Sigilyph,064,Reverse Holo ,1,$0.18,FALSE,FALSE,FALSE,FALSE
Paldean Wooper,093,Reverse Holo ,2,$0.18,FALSE,FALSE,FALSE,FALSE
Cubone,076,Reverse Holo ,2,$0.17,FALSE,FALSE,TRUE,FALSE
Hop's Corvisquire,134,Reverse Holo ,1,$0.17,FALSE,FALSE,FALSE,FALSE
Hop's Cramorant,138,Reverse Holo ,1,$0.17,FALSE,FALSE,FALSE,FALSE
N's Joltik,049,Reverse Holo ,2,$0.17,FALSE,FALSE,FALSE,FALSE
Shelgon,113,Reverse Holo ,1,$0.17,FALSE,FALSE,FALSE,FALSE
Alolan Marowak,057,Reverse Holo ,1,$0.16,FALSE,FALSE,TRUE,FALSE
Cramorant,137,Reverse Holo ,1,$0.16,FALSE,FALSE,FALSE,FALSE
Iono's Voltorb,047,Reverse Holo ,1,$0.16,FALSE,FALSE,TRUE,FALSE
Lillie's Cutiefly,066,Reverse Holo ,1,$0.16,FALSE,FALSE,FALSE,FALSE
Lotad,035,Reverse Holo ,1,$0.16,FALSE,FALSE,FALSE,FALSE
Pancham,083,Reverse Holo ,1,$0.16,FALSE,FALSE,FALSE,FALSE
Durant,014,Reverse Holo ,1,$0.15,FALSE,FALSE,FALSE,FALSE
Foongus,010,Reverse Holo ,1,$0.15,FALSE,FALSE,FALSE,FALSE
Hop's Rookidee,133,Reverse Holo ,1,$0.15,FALSE,FALSE,FALSE,FALSE
Hop's Wooloo,135,Reverse Holo ,1,$0.15,FALSE,FALSE,FALSE,FALSE
Komala,129,Reverse Holo ,1,$0.15,FALSE,FALSE,FALSE,FALSE
Metapod,002,Reverse Holo ,1,$0.15,FALSE,FALSE,TRUE,FALSE
Nymble,019,Reverse Holo ,1,$0.15,FALSE,FALSE,FALSE,FALSE
Skwovet,131,Reverse Holo ,1,$0.15,FALSE,FALSE,FALSE,FALSE
Volcarona ,029,Reverse Holo ,1,$0.15,FALSE,FALSE,FALSE,FALSE
Cufant,109,Reverse Holo ,1,$0.14,FALSE,FALSE,FALSE,FALSE
Druddigon,115,Reverse Holo ,3,$0.14,FALSE,FALSE,FALSE,FALSE
Galarian Stunfisk,106,Reverse Holo ,1,$0.14,FALSE,FALSE,FALSE,FALSE
Karrablast,009,Reverse Holo ,3,$0.14,FALSE,FALSE,FALSE,FALSE
Milcery,074,Reverse Holo ,1,$0.14,FALSE,FALSE,FALSE,FALSE
Morgrem,072,Reverse Holo ,1,$0.14,FALSE,FALSE,FALSE,FALSE
Parasect,005,Reverse Holo ,2,$0.14,FALSE,FALSE,TRUE,FALSE
Pupitar,081,Reverse Holo ,1,$0.14,FALSE,FALSE,FALSE,FALSE
Remoraid,033,Reverse Holo ,1,$0.14,FALSE,FALSE,FALSE,FALSE
Sentret,118,Reverse Holo ,1,$0.14,FALSE,FALSE,FALSE,FALSE
Dhelmise,070,Reverse Holo ,1,$0.13,FALSE,FALSE,FALSE,FALSE
Escavalier,102,Reverse Holo ,2,$0.13,FALSE,FALSE,FALSE,FALSE
Impidimp,071,Reverse Holo ,1,$0.13,FALSE,FALSE,FALSE,FALSE
Kecleon,122,Reverse Holo ,1,$0.13,FALSE,FALSE,FALSE,FALSE
Koffing,091,Reverse Holo ,1,$0.13,FALSE,FALSE,TRUE,FALSE
N's Klink,103,Reverse Holo ,1,$0.13,FALSE,FALSE,FALSE,FALSE
Piloswine,078,Reverse Holo ,1,$0.13,FALSE,FALSE,FALSE,FALSE
Toedscool,088,Reverse Holo ,1,$0.13,FALSE,FALSE,FALSE,TRUE
Wingull,038,Reverse Holo ,1,$0.13,FALSE,FALSE,FALSE,FALSE
Caterpie,001,Reverse Holo ,1,$0.12,FALSE,FALSE,TRUE,FALSE
Bombirdier,101,Reverse Holo ,1,$0.11,FALSE,FALSE,FALSE,FALSE
Pelipper,039,Reverse Holo ,1,$0.10,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE,FALSE
