Pokemon Name,Number ,Card Type ,# in Machine,Estimated Value ,Is Chase Card? ,Is top 10 chase card? ,Is classic Pokemon? ,Is Full Art?  ,
Steven's Beldum,143,Reverse Holo ,1,$0.15,FALSE,FALSE,FALSE,FALSE,
Team Rocket's Blipbug,015,Reverse Holo ,1,$0.15,FALSE,FALSE,FALSE,FALSE,
Ethan's Cyndaquil,032,Reverse Holo ,2,$0.14,FALSE,FALSE,FALSE,FALSE,
Mow Rotom,009,Reverse Holo ,2,$0.14,FALSE,FALSE,FALSE,FALSE,
Mudbray,107,Reverse Holo ,3,$0.14,FALSE,FALSE,FALSE,FALSE,
Team Rocket's Houndour,037,Reverse Holo ,1,$0.14,FALSE,FALSE,FALSE,FALSE,
Clamperl,054,Reverse Holo ,2,$0.13,FALSE,FALSE,FALSE,FALSE,
Electrike,075,Reverse Holo ,1,$0.13,FALSE,FALSE,FALSE,FALSE,
Pineco,004,Reverse Holo ,1,$0.13,FALSE,FALSE,FALSE,FALSE,
Squawkabilly,160,Reverse Holo ,2,$0.13,FALSE,FALSE,FALSE,FALSE,
Team Rocket's Flaaffy,073,Reverse Holo ,2,$0.13,FALSE,FALSE,FALSE,FALSE,
Team Rocket's Larvitar,094,Reverse Holo ,1,$0.13,FALSE,FALSE,FALSE,FALSE,
Meditite,099,Reverse Holo ,1,$0.12,FALSE,FALSE,FALSE,FALSE,
Skarmory,141,Reverse Holo ,2,$0.12,FALSE,FALSE,FALSE,FALSE,
Arven's Skwovet,158,Reverse Holo ,2,$0.11,FALSE,FALSE,FALSE,FALSE,
Team Rocket's Mewtwo Ex,240,Gold,1,$50.31,TRUE,TRUE,TRUE,TRUE,
Misty's Lapras,184,Secret Art,1,$36.68,TRUE,TRUE,TRUE,TRUE,
Team Rocket's Crobat ex,242,Gold,1,$20.85,TRUE,TRUE,TRUE,TRUE,
Team Rocket's Meowth,203,Secret Art,1,$19.49,TRUE,TRUE,TRUE,TRUE,
Team Rocket's Weezing,199,Secret Art,1,$6.59,TRUE,FALSE,TRUE,TRUE,
Rapidash ,189,Alternative Full Art,1,$5.59,TRUE,TRUE,TRUE,TRUE,
Team Rocket's Moltres Ex,208,Alternative Full Art,1,$5.31,TRUE,FALSE,TRUE,TRUE,
Team Rocket's Mewtwo Ex,081,Full Art ,1,$1.38,FALSE,FALSE,TRUE,TRUE,
Team Rocket's Moltres Ex,031,Full Art ,1,$0.78,FALSE,FALSE,TRUE,TRUE,
Team Rocket's Persian Ex,150,Full Art ,1,$0.74,FALSE,FALSE,TRUE,TRUE,
Team Rocket's Nidoking Ex,119,Full Art ,1,$0.61,FALSE,FALSE,TRUE,TRUE,
Misty's Magikarp ,048,Reverse Holo ,1,$0.31,FALSE,FALSE,TRUE,FALSE,
Team Rocket's Nidorino,118,Reverse Holo ,1,$0.29,FALSE,FALSE,TRUE,FALSE,
Team Rocket's Zapdos,070,Holo,3,$0.29,FALSE,FALSE,TRUE,FALSE,
Arcanine,028,Reverse Holo ,1,$0.27,FALSE,FALSE,TRUE,FALSE,
Team Rocket's Articuno,051,Holo,2,$0.26,FALSE,FALSE,TRUE,FALSE,
Team Rocket's Articuno,051,Reverse Holo ,2,$0.26,FALSE,FALSE,TRUE,FALSE,
Team Rocket's Nidorina,115,Reverse Holo ,1,$0.26,FALSE,FALSE,TRUE,FALSE,
Misty's Starmie,047,Reverse Holo ,1,$0.25,FALSE,FALSE,TRUE,FALSE,
Annihilape,092,Holo,2,$0.21,FALSE,FALSE,TRUE,FALSE,
Annihilape,092,Reverse Holo ,1,$0.21,FALSE,FALSE,TRUE,FALSE,
Kangaskhan,151,Reverse Holo ,1,$0.20,FALSE,FALSE,TRUE,FALSE,
Team Rocket's Ekans,112,Holo,1,$0.18,FALSE,FALSE,TRUE,FALSE,
Team Rocket's Ekans,112,Reverse Holo ,1,$0.18,FALSE,FALSE,TRUE,FALSE,
Ponyta,029,Reverse Holo ,1,$0.16,FALSE,FALSE,TRUE,FALSE,
Team Rocket's Raticate,148,Reverse Holo ,1,$0.16,FALSE,FALSE,TRUE,FALSE,
Tauros,152,Reverse Holo ,1,$0.14,FALSE,FALSE,TRUE,FALSE,
Electabuzz,068,Reverse Holo ,1,$0.12,FALSE,FALSE,TRUE,FALSE,
Mankey,090,Reverse Holo ,1,$0.12,FALSE,FALSE,TRUE,FALSE,
Primeape,091,Reverse Holo ,2,$0.12,FALSE,FALSE,TRUE,FALSE,
Misty's Psyduck,193,Secret Art,1,$46.63,TRUE,TRUE,TRUE,TRUE,
Kangaskhan,204,Secret Art,1,$6.77,TRUE,TRUE,TRUE,TRUE,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Total Classic Pokemon: ,38,,,,,,,
